Cidade;valortotal;categorias
CAMPOS DOS GOYTACAZES-RJ;27567.60;COOL_STUFF|UTILIDADES_DOMESTICA|PERFUMARIA|CAMA_MESA_BANHO|MOVEIS_DECORACAO|BELEZA_SAUDE|FERRAMENTAS_JARDIM|ESPORTE_LAZER|TELEFONIA|MOVEIS_ESCRITORIO|RELOGIOS_PRESENTES|BRINQUEDOS|BEBIDAS|ELETRONICOS|INFORMATICA_ACESSORI|PAPELARIA|MALAS_ACESSORIOS|ELETRODOMESTICOS|FASHION_BOLSAS_E_ACE|AUTOMOTIVO|PET_SHOP|CONSOLES_GAMES|
JATAI-GO;6077.68;COOL_STUFF|BRINQUEDOS|PERFUMARIA|MOVEIS_DECORACAO|TELEFONIA|MOVEIS_ESCRITORIO|RELOGIOS_PRESENTES|FASHION_BOLSAS_E_ACE|ELETRONICOS|BELEZA_SAUDE|INFORMATICA_ACESSORI|AUTOMOTIVO|CAMA_MESA_BANHO|PET_SHOP|FERRAMENTAS_JARDIM|ESPORTE_LAZER|PAPELARIA|
BELO HORIZONTE-MG;302520.65;COOL_STUFF|BRINQUEDOS|PET_SHOP|CAMA_MESA_BANHO|TELEFONIA|PERFUMARIA|BELEZA_SAUDE|FASHION_BOLSAS_E_ACE|MOVEIS_DECORACAO|UTILIDADES_DOMESTICA|BEBIDAS|FERRAMENTAS_JARDIM|RELOGIOS_PRESENTES|AUTOMOTIVO|ESPORTE_LAZER|MOVEIS_ESCRITORIO|ELETRONICOS|INFORMATICA_ACESSORI|PAPELARIA|MALAS_ACESSORIOS|CONSOLES_GAMES|ELETRODOMESTICOS|
SAO JOSE DOS PINHAIS-PR;12393.89;COOL_STUFF|PERFUMARIA|CAMA_MESA_BANHO|MOVEIS_DECORACAO|FERRAMENTAS_JARDIM|TELEFONIA|MOVEIS_ESCRITORIO|UTILIDADES_DOMESTICA|AUTOMOTIVO|RELOGIOS_PRESENTES|ELETRONICOS|BEBIDAS|INFORMATICA_ACESSORI|BELEZA_SAUDE|BRINQUEDOS|PAPELARIA|ESPORTE_LAZER|FASHION_BOLSAS_E_ACE|ELETRODOMESTICOS|CONSOLES_GAMES|MALAS_ACESSORIOS|
CONSELHEIRO LAFAIETE-MG;8564.36;COOL_STUFF|PERFUMARIA|CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|MOVEIS_DECORACAO|ESPORTE_LAZER|TELEFONIA|UTILIDADES_DOMESTICA|RELOGIOS_PRESENTES|AUTOMOTIVO|PAPELARIA|BRINQUEDOS|INFORMATICA_ACESSORI|FASHION_BOLSAS_E_ACE|CONSOLES_GAMES|ELETRONICOS|BELEZA_SAUDE|BEBIDAS|PET_SHOP|
BELO CAMPO-BA;174.47;COOL_STUFF|ELETRONICOS|BELEZA_SAUDE|
RIO VERDE-GO;8467.45;COOL_STUFF|BELEZA_SAUDE|MOVEIS_DECORACAO|RELOGIOS_PRESENTES|ESPORTE_LAZER|MOVEIS_ESCRITORIO|BEBIDAS|TELEFONIA|CAMA_MESA_BANHO|ELETRONICOS|PET_SHOP|FASHION_BOLSAS_E_ACE|PAPELARIA|AUTOMOTIVO|UTILIDADES_DOMESTICA|PERFUMARIA|BRINQUEDOS|FERRAMENTAS_JARDIM|
PAULISTA-PE;5611.77;COOL_STUFF|CAMA_MESA_BANHO|RELOGIOS_PRESENTES|ESPORTE_LAZER|TELEFONIA|MOVEIS_ESCRITORIO|PET_SHOP|MALAS_ACESSORIOS|BRINQUEDOS|BELEZA_SAUDE|PAPELARIA|AUTOMOTIVO|INFORMATICA_ACESSORI|FASHION_BOLSAS_E_ACE|MOVEIS_DECORACAO|
SAO LEOPOLDO-RS;9179.76;COOL_STUFF|BELEZA_SAUDE|PERFUMARIA|MOVEIS_DECORACAO|CAMA_MESA_BANHO|TELEFONIA|FERRAMENTAS_JARDIM|INFORMATICA_ACESSORI|ELETRONICOS|BEBIDAS|BRINQUEDOS|RELOGIOS_PRESENTES|PAPELARIA|PET_SHOP|ESPORTE_LAZER|FASHION_BOLSAS_E_ACE|ELETRODOMESTICOS|AUTOMOTIVO|UTILIDADES_DOMESTICA|
RIO DE JANEIRO-RJ;820441.62;COOL_STUFF|BRINQUEDOS|PET_SHOP|PAPELARIA|FERRAMENTAS_JARDIM|MOVEIS_DECORACAO|CAMA_MESA_BANHO|TELEFONIA|UTILIDADES_DOMESTICA|BELEZA_SAUDE|PERFUMARIA|BEBIDAS|FASHION_BOLSAS_E_ACE|RELOGIOS_PRESENTES|ESPORTE_LAZER|AUTOMOTIVO|MOVEIS_ESCRITORIO|CONSOLES_GAMES|INFORMATICA_ACESSORI|ELETRONICOS|ELETRODOMESTICOS|MALAS_ACESSORIOS|
CAMPINAS-SP;162453.68;COOL_STUFF|PET_SHOP|BRINQUEDOS|BELEZA_SAUDE|TELEFONIA|PERFUMARIA|CAMA_MESA_BANHO|MOVEIS_ESCRITORIO|MOVEIS_DECORACAO|BEBIDAS|UTILIDADES_DOMESTICA|FERRAMENTAS_JARDIM|RELOGIOS_PRESENTES|ESPORTE_LAZER|CONSOLES_GAMES|FASHION_BOLSAS_E_ACE|AUTOMOTIVO|ELETRONICOS|PAPELARIA|INFORMATICA_ACESSORI|MALAS_ACESSORIOS|ELETRODOMESTICOS|
DUQUE DE CAXIAS-RJ;29858.35;COOL_STUFF|BELEZA_SAUDE|PERFUMARIA|CAMA_MESA_BANHO|MOVEIS_DECORACAO|UTILIDADES_DOMESTICA|FERRAMENTAS_JARDIM|RELOGIOS_PRESENTES|TELEFONIA|MOVEIS_ESCRITORIO|BEBIDAS|FASHION_BOLSAS_E_ACE|CONSOLES_GAMES|AUTOMOTIVO|ELETRONICOS|INFORMATICA_ACESSORI|ESPORTE_LAZER|PAPELARIA|BRINQUEDOS|PET_SHOP|
