Administrative;Administrative_Duration;Informational;Informational_Duration;ProductRelated;ProductRelated_Duration;BounceRates;ExitRates;PageValues;SpecialDay;Month;OperatingSystems;Browser;Region;TrafficType;VisitorType;Weekend;Revenue
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.0;2.0;1.0;1.0;1.0;1.0;2.0;0.0;False
0.0;0.0;0.0;0.0;2.0;64.0;0.0;0.1;0.0;0.0;2.0;2.0;2.0;1.0;2.0;2.0;0.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.0;2.0;4.0;1.0;9.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;2.0;2.666.666.667;0.05;0.14;0.0;0.0;2.0;3.0;2.0;2.0;4.0;2.0;0.0;False
0.0;0.0;0.0;0.0;10.0;627.5;0.02;0.05;0.0;0.0;2.0;3.0;3.0;1.0;4.0;2.0;1.0;False
0.0;0.0;0.0;0.0;19.0;1.542.166.667;0.015789473999999998;0.024561404;0.0;0.0;2.0;2.0;2.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.4;2.0;2.0;4.0;3.0;3.0;2.0;0.0;False
1.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.0;0.0;2.0;1.0;2.0;1.0;5.0;2.0;1.0;False
0.0;0.0;0.0;0.0;2.0;37.0;0.0;0.1;0.0;0.8;2.0;2.0;2.0;2.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;3.0;738.0;0.0;0.022222222000000003;0.0;0.4;2.0;2.0;4.0;1.0;2.0;2.0;0.0;False
0.0;0.0;0.0;0.0;3.0;395.0;0.0;0.066666667;0.0;0.0;2.0;1.0;1.0;3.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;16.0;407.75;0.01875;0.025833332999999997;0.0;0.4;2.0;1.0;1.0;4.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;7.0;280.5;0.0;0.028571429;0.0;0.0;2.0;1.0;1.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;6.0;98.0;0.0;0.066666667;0.0;0.0;2.0;2.0;5.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;2.0;68.0;0.0;0.1;0.0;0.0;2.0;3.0;2.0;3.0;3.0;2.0;0.0;False
2.0;53.0;0.0;0.0;23.0;1.668.285.119;0.008333333;0.016312636000000002;0.0;0.0;2.0;1.0;1.0;9.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.0;2.0;1.0;1.0;4.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;13.0;33.496.666.669.999.900;0.0;0.007692308;0.0;0.0;2.0;1.0;1.0;1.0;4.0;2.0;1.0;False
0.0;0.0;0.0;0.0;2.0;32.0;0.0;0.1;0.0;0.0;2.0;2.0;2.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;20.0;2.981.166.667;0.0;0.01;0.0;0.0;2.0;2.0;4.0;4.0;4.0;2.0;0.0;False
0.0;0.0;0.0;0.0;8.0;13.616.666.669.999.900;0.0;0.008333333;0.0;1.0;2.0;2.0;2.0;5.0;1.0;2.0;1.0;False
0.0;0.0;0.0;0.0;2.0;0.0;0.2;0.2;0.0;0.0;2.0;3.0;3.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;3.0;105.0;0.0;0.033333333;0.0;0.0;2.0;3.0;2.0;1.0;5.0;2.0;0.0;False
0.0;0.0;0.0;0.0;2.0;15.0;0.0;0.1;0.0;0.8;2.0;2.0;4.0;1.0;3.0;2.0;0.0;False
0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.2;0.0;0.0;2.0;2.0;2.0;4.0;1.0;2.0;1.0;False
0.0;0.0;0.0;0.0;5.0;156.0;0.0;0.04;0.0;0.0;2.0;1.0;1.0;9.0;3.0;2.0;0.0;False
