index,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
8958,0.0,0.0,0.0,0.0,16.0,829.0833332999999,0.0,0.0125,41.67536194,0.0,7.0,2.0,4.0,1.0,3.0,0.0,0.0,True
811,0.0,0.0,0.0,0.0,8.0,186.5,0.0,0.025,0.0,0.0,5.0,2.0,2.0,3.0,3.0,1.0,1.0,False
14541,0.5025343479942316,2.0101373919769263,0.0,0.0,39.48732826002884,1860.0290160280294,0.010919977969622064,0.027305824672276782,4.149973253700298,0.0,7.0,2.507603043982695,1.0,1.5025343479942315,7.974656520057684,1.0,0.4974656520057684,True
6880,6.0,101.2,2.0,438.7,53.0,1692.6941550000001,0.012068966,0.022197723,0.0,0.0,0.0,3.0,2.0,4.0,1.0,1.0,0.0,False
5921,0.0,0.0,0.0,0.0,2.0,78.1,0.18,0.171428571,0.0,0.0,9.0,2.0,5.0,3.0,2.0,1.0,0.0,False
7106,2.0,168.4,0.0,0.0,10.0,208.0,0.0,0.008333333,0.0,0.0,7.0,3.0,2.0,5.0,2.0,0.0,0.0,False
8866,0.0,0.0,0.0,0.0,2.0,242.5,0.0,0.05,0.0,0.0,1.0,8.0,13.0,9.0,20.0,0.0,0.0,False
15249,9.955737287293942,381.9161942322719,0.4088525425412117,5.92836186684757,27.342458473482125,921.7133069159273,0.0,0.008899989314731143,3.7252689095447717,0.0,5.773442372376365,2.0,2.0,1.0,2.8177050850824235,0.20442627127060586,0.7955737287293941,True
9342,0.0,0.0,0.0,0.0,11.0,234.1,0.0,0.022222222000000003,0.0,0.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,False
4771,0.0,0.0,0.0,0.0,5.0,161.5,0.0,0.02,0.0,0.0,6.0,3.0,2.0,4.0,2.0,1.0,1.0,False
3908,0.0,0.0,0.0,0.0,8.0,166.16666669999998,0.0,0.025,0.0,0.0,6.0,2.0,2.0,3.0,4.0,1.0,0.0,False
3842,1.0,4.0,0.0,0.0,36.0,440.6,0.011111111000000002,0.041898147999999996,0.0,1.0,6.0,3.0,2.0,3.0,1.0,1.0,1.0,False
7285,1.0,383.8,0.0,0.0,11.0,92.4,0.0,0.016666667,0.0,0.0,3.0,2.0,2.0,9.0,2.0,0.0,0.0,False
7299,2.0,132.4,0.0,0.0,11.0,296.3,0.0,0.015384615,0.0,0.0,9.0,2.0,4.0,3.0,2.0,0.0,0.0,False
10017,0.0,0.0,0.0,0.0,9.0,258.2916667,0.0,0.022222222000000003,0.0,0.0,7.0,2.0,5.0,3.0,2.0,1.0,0.0,False
12102,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,7.0,2.0,10.0,3.0,1.0,1.0,0.0,False
11266,4.0,364.5,0.0,0.0,27.0,955.525,0.013333333000000001,0.022222222000000003,0.0,0.0,7.0,3.0,2.0,3.0,1.0,1.0,1.0,False
19511,2.6221824346685607,59.30398935246188,0.0,0.0,3.4055456086671403,113.01906992225805,0.0,0.010138640216678506,37.89312632879752,0.0,8.0,1.4055456086671403,1.4055456086671403,4.21663682600142,2.5944543913328597,0.4055456086671402,0.0,True
