,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
9214,3.0,33.0,0.0,0.0,17.0,386.4166667,0.0,0.01,0.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,True
10579,3.0,107.20833329999999,0.0,0.0,17.0,513.25,0.0,0.012030075,17.54619116,0.0,7.0,2.0,2.0,1.0,10.0,1.0,0.0,True
13559,8.269055782886223,470.885023042414,3.730944217113777,314.79841831897494,154.98208162835334,6119.791400222653,0.007165946410415279,0.0191066495080061,0.01023538235748414,0.0,6.52915237994911,1.9327360542784442,1.9327360542784442,6.663680271392222,2.1345278914431116,1.0,0.9327360542784443,True
16958,4.073303230866672,73.96862800084449,1.0,139.50784299978886,102.24615492473342,2585.4234354721707,0.0011615142292090504,0.010340754705859389,32.753940753504516,0.0,6.3822021539111145,2.0,2.0,1.9266967691333283,1.3088989230444428,0.6911010769555572,0.0,True
13620,3.178653209140397,71.5115659947778,2.7679798137105953,164.6658255712748,22.749427536017222,1255.1307682947272,0.0,0.009849530895300603,19.989044704404687,0.0,5.589326604570198,1.0,3.874713768008611,2.821346790859603,1.5893266045701986,0.4106733954298015,0.0,True
8018,0.0,0.0,0.0,0.0,13.0,390.5,0.038461537999999997,0.05384615400000001,0.0,0.0,1.0,2.0,2.0,1.0,13.0,1.0,0.0,False
1657,0.0,0.0,0.0,0.0,3.0,64.0,0.0,0.066666667,0.0,0.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,False
18069,5.299253340552311,161.5213207162912,0.0,0.0,112.67088028154012,7183.910338444743,0.002405920950044838,0.012344487781757443,9.351941151875026,0.0,7.0,2.0,2.0,5.802986637790756,5.99253340552311,1.0,0.0,True
17651,5.08975010405806,173.3772306364954,0.0,0.0,20.5512494797097,485.25894547766427,0.0009972233684506545,0.013047905741842714,45.14437775109287,0.0,6.46149937565164,2.0,2.0,3.91024989594194,1.0,1.0,0.0,True
15810,2.0995575240410296,46.19092919951384,0.0,0.0,16.09955752404103,463.90657080698526,0.0009955752404102946,0.010668633159620992,48.12677279135569,0.0,8.103982283630735,1.9004424759589704,2.0,6.402654855753823,2.0,1.0,0.0,True
2643,2.0,30.0,0.0,0.0,24.0,300.6666667,0.008333333,0.025,0.0,0.0,6.0,2.0,2.0,1.0,4.0,1.0,0.0,False
