CODIGO;DIGITO;DESCRICAO;ESTADO;TIPO;POP2020;POP2010;DENS2010;SAL2018;OCUP2018;POPOCU2018;MEISAL2010;ESC6142010;IDEBI2017;IDEBF2017;MATF2018;MATM2018;DOCF2018;DOCM2018;ESTF2018;ESTM2018;PIB2018;RECE2015;IDHM2010;RECEIT2017;DESPES2017;MORT2017;INTDI2016;SUS2009;AREA2019;ESGO2010;ARBO2010;URB2010;BIOMA2019;COST2019;HIEHUR2018;REGINF2018;REGINT2019;REGIME2019;MESO2019;MICRO2019;LATITUDE;LONGITUDE;ALTMIN;ALTMAX;TVPAG2019;CARRO2020;MOTO2020;CAMINH2020;ONIBUS2020
120001;3;ACRELANDIA;AC;INTERIOR;15490;12538;6,94;2,00;869;5,80;45,60;95,10;5,40;4,50;2416;628;91;30;10;3;15737,64;0,00;0,604;25276530,00;27229760,00;11,72;0,00;8;1807,953;10,90;11,60;7,30;Amazonia;Nao pertence;Centro Local (5);Rio Branco - Capital Regional C (2C);Rio Branco;Rio Branco;Vale do Acre;Rio Branco;-9,82800;-66,88300;167,05863;205,89401;190;2268;3779;498;53
120005;4;ASSIS BRASIL;AC;INTERIOR;7534;6072;1,22;2,20;439;6,00;47,10;85,10;4,30;4,10;2540;288;153;22;66;2;12532,31;0,00;0,588;18177080,00;17004910,00;8,06;0,00;5;4974,174;23,10;26,50;0,00;Amazonia;Nao pertence;Centro Local (5);Arranjo Populacional Internacional de...;Rio Branco;Brasileia;Vale do Acre;Brasileia;-10,94100;-69,56700;234,86684;234,86684;90;526;1355;25;6
120010;4;BRASILEIA;AC;INTERIOR;26702;21398;5,46;1,80;2396;9,30;45,00;90,20;6,40;5,80;4167;1018;176;52;35;3;16165,25;0,00;0,614;53414580,00;43280580,00;17,54;0,00;12;3916,505;28,40;72,40;2,00;Amazonia;Nao pertence;Centro Subregional B (3B) - Municipio...;Rio Branco - Capital Regional C (2C);Rio Branco;Brasileia;Vale do Acre;Brasileia;-11,01000;-68,74800;188,32414;263,41277;565;3835;5619;296;28
120013;8;BUJARI;AC;INTERIOR;10420;8471;2,79;1,60;1407;13,90;44,60;91,10;4,50;3,80;2509;517;132;45;31;11;15606,47;0,00;0,589;21293770,00;16796610,00;6,51;0,00;2;3034,869;18,90;6,80;9,20;Amazonia;Nao pertence;Centro Local (5);Rio Branco - Capital Regional C (2C);Rio Branco;Rio Branco;Vale do Acre;Rio Branco;-9,83100;-67,95200;198,17420;198,17420;178;968;1061;129;20
120017;9;CAPIXABA;AC;INTERIOR;12008;8798;5,17;2,40;538;4,70;44,60;92,60;4,20;4,40;2059;400;89;30;14;3;14874,52;0,00;0,575;22177710,00;18125250,00;16,46;0,00;5;1701,973;33,20;43,80;9,80;Amazonia;Nao pertence;Centro Local (5);Rio Branco - Capital Regional C (2C);Rio Branco;Rio Branco;Vale do Acre;Rio Branco;-10,57300;-67,67600;204,27189;212,30331;130;928;1244;87;20
120020;3;CRUZEIRO DO SUL;AC;INTERIOR;89072;78507;8,94;1,80;9267;10,60;44,20;94,90;5,50;4,70;18581;5411;831;310;148;22;16261,39;88,10;0,664;139636410,00;131394850,00;11,28;0,00;40;8779,407;12,70;37,90;3,70;Amazonia;Nao pertence;Centro Subregional B (3B);Rio Branco - Capital Regional C (2C);Cruzeiro do Sul;Cruzeiro do Sul;Vale do Jurua;Cruzeiro do Sul;-7,63100;-72,67000;173,59065;195,50081;1530;10692;22947;739;142
120025;2;EPITACIOLANDIA;AC;INTERIOR;18696;15100;9,13;1,60;1624;9,00;42,90;93,70;5,80;5,10;2632;654;110;38;19;2;25349,75;0,00;0,653;31996170,00;28161830,00;10,31;0,00;8;1654,769;21,40;39,10;11,00;Amazonia;Nao pertence;Centro Subregional B (3B) - Municipio...;Rio Branco - Capital Regional C (2C);Rio Branco;Brasileia;Vale do Acre;Brasileia;-11,02900;-68,74100;206,03613;206,03613;326;2874;3292;254;24
120030;2;FEIJO;AC;INTERIOR;34884;32412;1,16;1,70;2043;5,90;51,00;82,90;5,50;4,80;8361;1731;401;98;131;18;10500,72;0,00;0,539;52016780,00;44915340,00;15,61;0,00;10;27975,427;9,30;44,70;2,10;Amazonia;Nao pertence;Centro Local (5);Rio Branco - Capital Regional C (2C);Cruzeiro do Sul;Tarauaca;Vale do Jurua;Tarauaca;-8,16400;-70,35400;159,82250;220,61843;243;1023;2877;119;15
120032;8;JORDAO;AC;INTERIOR;8473;6577;1,23;1,50;502;6,20;48,00;71,30;4,80;4,20;2546;418;147;35;67;2;9428,70;96,80;0,469;26243130,00;22373460,00;22,56;0,00;5;5357,282;4,30;3,70;1,20;Amazonia;Nao pertence;Centro Local (5);Rio Branco - Capital Regional C (2C);Cruzeiro do Sul;Tarauaca;Vale do Jurua;Tarauaca;-9,43400;-71,88400;264,97788;264,97788;10;25;103;6;0
120033;6;MANCIO LIMA;AC;INTERIOR;19311;15206;2,79;1,70;924;5,00;48,70;94,90;5,20;4,40;3938;808;198;76;42;6;10629,45;96,70;0,625;40273440,00;33192440,00;8,38;0,00;15;5453,034;8,00;7,50;4,70;Amazonia;Nao pertence;Centro Local (5);Cruzeiro do Sul - Centro Subregional ...;Cruzeiro do Sul;Cruzeiro do Sul;Vale do Jurua;Cruzeiro do Sul;-7,61400;-72,89600;187,06600;245,48852;220;1037;2720;101;23
120034;4;MANOEL URBANO;AC;INTERIOR;9581;7981;0,75;2,30;597;6,40;46,90;78,00;4,70;3,80;2317;403;87;19;31;1;13389,93;0,00;0,551;20832270,00;17500700,00;26,82;0,00;5;10633,137;12,80;0,00;2,80;Amazonia;Nao pertence;Centro Local (5);Rio Branco - Capital Regional C (2C);Rio Branco;Sena Madureira;Vale do Acre;Sena Madureira;-8,83900;-69,26000;162,13382;162,13382;148;395;723;55;5
120035;1;MARECHAL THAUMATURGO;AC;INTERIOR;19299;14227;1,74;1,60;1191;6,50;50,60;90,80;4,20;4,00;4464;996;274;52;65;3;10462,83;97,20;0,501;46853600,00;44092310,00;28,35;0,00;7;8191,691;7,40;5,70;1,30;Amazonia;Nao pertence;Centro Local (5);Cruzeiro do Sul - Centro Subregional ...;Cruzeiro do Sul;Cruzeiro do Sul;Vale do Jurua;Cruzeiro do Sul;-8,94100;-72,79200;214,91061;214,91061;15;47;306;13;9
120038;5;PLACIDO DE CASTRO;AC;INTERIOR;19955;17209;8,86;1,70;1395;7,10;45,20;93,60;5,20;4,80;2965;725;141;42;21;5;12926,47;94,70;0,622;37476080,00;32912560,00;9,84;0,00;10;1943,850;14,30;32,50;2,00;Amazonia;Nao pertence;Centro Local (5);Rio Branco - Capital Regional C (2C);Rio Branco;Rio Branco;Vale do Acre;Rio Branco;-10,33500;-67,18400;129,18948;177,12572;205;1962;2722;153;34
120080;7;PORTO ACRE;AC;INTERIOR;18824;14880;5,71;2,00;900;5,00;48,30;90,40;5,00;4,00;3621;757;170;61;28;9;12855,64;0,00;0,576;30554600,00;25481770,00;9,30;0,00;6;2604,897;11,50;11,70;0,20;Amazonia;Nao pertence;Centro Local (5);Rio Branco - Capital Regional C (2C);Rio Branco;Rio Branco;Vale do Acre;Rio Branco;-9,58800;-67,53300;134,32279;193,60582;172;1344;2303;173;50
120039;3;PORTO WALTER;AC;INTERIOR;12241;9176;1,42;1,50;636;5,40;48,90;93,30;3,70;3,60;2930;525;169;26;44;2;9569,61;97,10;0,532;30739640,00;29105950,00;14,18;0,00;4;6443,829;0,40;5,30;2,50;Amazonia;Nao pertence;Centro Local (5);Cruzeiro do Sul - Centro Subregional ...;Cruzeiro do Sul;Cruzeiro do Sul;Vale do Jurua;Cruzeiro do Sul;-8,26900;-72,74400;200,70745;201,80596;17;38;290;9;5
120040;1;RIO BRANCO;AC;CAPITAL;413418;336038;38,03;3,40;103258;25,70;36,40;95,10;6,40;4,80;60414;16710;2328;935;198;60;22287,70;64,80;0,727;884827270,00;740733110,00;11,46;0,00;95;8834,942;56,70;13,80;20,40;Amazonia;Nao pertence;Capital Regional C (2C);Arranjo Populacional de Porto Velho/R...;Rio Branco;Rio Branco;Vale do Acre;Rio Branco;-9,97500;-67,81000;134,09424;195,45987;22311;94679;89311;4335;1201
120042;7;RODRIGUES ALVES;AC;INTERIOR;19351;14389;4,68;1,90;859;4,60;51,90;94,60;5,80;4,40;3418;819;200;85;61;11;9973,26;95,40;0,567;40231340,00;35058620,00;19,13;0,00;6;3076,952;8,10;17,50;9,60;Amazonia;Nao pertence;Centro Local (5);Cruzeiro do Sul - Centro Subregional ...;Cruzeiro do Sul;Cruzeiro do Sul;Vale do Jurua;Cruzeiro do Sul;-7,74200;-72,64700;189,32174;189,58543;90;333;1320;21;10
120043;5;SANTA ROSA DO PURUS;AC;INTERIOR;6717;4691;0,76;2,10;255;4,00;48,30;63,80;3,40;2,90;2039;406;119;20;56;9;11233,49;97,10;0,517;21113550,00;18486840,00;25,25;0,00;4;6145,612;2,50;28,30;0,00;Amazonia;Nao pertence;Centro Local (5);Rio Branco - Capital Regional C (2C);Rio Branco;Sena Madureira;Vale do Acre;Sena Madureira;-9,43300;-70,49300;216,72423;216,72423;12;40;143;5;3
120050;0;SENA MADUREIRA;AC;INTERIOR;46511;38029;1,60;1,80;2172;4,80;46,30;85,40;5,70;4,30;7613;1524;371;101;141;21;11475,22;93,10;0,603;75150730,00;64406760,00;14,10;0,00;14;23753,064;12,50;7,00;4,20;Amazonia;Nao pertence;Centro Local (5);Rio Branco - Capital Regional C (2C);Rio Branco;Sena Madureira;Vale do Acre;Sena Madureira;-9,06600;-68,65700;132,13303;268,80702;358;2602;6179;120;14
120045;0;SENADOR GUIOMARD;AC;INTERIOR;23236;20179;8,69;1,90;1668;7,30;41,60;95,60;6,40;5,00;4319;970;214;77;28;8;16360,61;0,00;0,640;43306460,00;39298320,00;12,66;0,00;7;2322,041;22,40;13,30;4,20;Amazonia;Nao pertence;Centro Local (5);Rio Branco - Capital Regional C (2C);Rio Branco;Rio Branco;Vale do Acre;Rio Branco;-10,15100;-67,73600;153,09599;207,92480;544;3088;3405;353;43
120060;9;TARAUACA;AC;INTERIOR;43151;35590;1,76;2,00;2240;5,30;47,40;85,60;5,20;4,60;10847;1838;461;125;83;17;11645,35;93,80;0,539;71657950,00;63519410,00;22,97;0,00;14;20171,089;9,30;59,10;0,80;Amazonia;Nao pertence;Centro Local (5);Rio Branco - Capital Regional C (2C);Cruzeiro do Sul;Tarauaca;Vale do Jurua;Tarauaca;-8,16100;-70,76600;172,14447;231,79672;338;1097;3772;155;42
